epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
78,5223.85,0.47765,0.47844,0.30891,0.00404,0.19676,0.90821,0.91449,0.94395,0.89839,0.90481,0.91052,0.9407,0.82768,0.29948,0.68172,0.26867,0.00466,0,0.00067997,0.00067997,0.00067997
79,5290.04,0.47107,0.50947,0.31764,0.00378,0.20501,0.89864,0.92181,0.94517,0.89402,0.89002,0.91054,0.93326,0.82203,0.27423,0.60377,0.27964,0.00416,0,0.000672675,0.000672675,0.000672675
80,5356.26,0.47764,0.47575,0.32549,0.00391,0.21626,0.88213,0.92967,0.93994,0.89463,0.87369,0.91754,0.9352,0.81821,0.27981,0.59115,0.29204,0.00426,0,0.000665339,0.000665339,0.000665339
81,5421.71,0.48947,0.485,0.33604,0.00389,0.24122,0.89928,0.95616,0.94935,0.89753,0.90546,0.92981,0.93878,0.82603,0.27655,0.56668,0.24368,0.00406,0,0.000657963,0.000657963,0.000657963
82,5488.17,0.4811,0.48185,0.32337,0.00372,0.19533,0.91973,0.89869,0.939,0.89275,0.90993,0.89725,0.93244,0.82327,0.27264,0.73051,0.26214,0.00428,0,0.00065055,0.00065055,0.00065055
83,5555.18,0.46568,0.48466,0.31193,0.00374,0.19052,0.90485,0.92482,0.93843,0.89185,0.89906,0.91853,0.92988,0.8184,0.27567,0.5358,0.26305,0.00438,0,0.000643101,0.000643101,0.000643101
84,5619.07,0.46263,0.46664,0.30796,0.00359,0.20156,0.91048,0.91338,0.93823,0.89004,0.90467,0.90709,0.92995,0.81312,0.29101,0.54473,0.28141,0.0046,0,0.000635617,0.000635617,0.000635617
85,5682.61,0.47243,0.45296,0.31498,0.00373,0.20694,0.91056,0.93583,0.95024,0.90284,0.90486,0.92954,0.94676,0.83508,0.27095,0.65758,0.23669,0.00398,0,0.000628101,0.000628101,0.000628101
86,5747.51,0.45091,0.43638,0.29546,0.00356,0.19577,0.91012,0.93488,0.95324,0.90675,0.89708,0.9206,0.93987,0.82909,0.27047,0.49277,0.24965,0.00398,0,0.000620555,0.000620555,0.000620555
87,5814.32,0.46678,0.47272,0.30317,0.00366,0.17823,0.91934,0.92497,0.94457,0.89836,0.91346,0.91867,0.93878,0.82419,0.26699,0.44981,0.26584,0.00391,0,0.000612981,0.000612981,0.000612981
88,5879.71,0.46965,0.44966,0.30914,0.00372,0.19513,0.92074,0.90508,0.94312,0.89528,0.88577,0.93327,0.93747,0.823,0.27544,0.41794,0.26739,0.00407,0,0.00060538,0.00060538,0.00060538
89,5946.85,0.45964,0.4415,0.298,0.0036,0.18597,0.90906,0.92161,0.94632,0.9041,0.90301,0.91538,0.94306,0.83244,0.26527,0.52614,0.27589,0.004,0,0.000597754,0.000597754,0.000597754
90,6011.99,0.45694,0.44672,0.29753,0.00363,0.18759,0.91849,0.92965,0.94568,0.89901,0.90232,0.93112,0.93815,0.82239,0.27387,0.55148,0.25233,0.00424,0,0.000590105,0.000590105,0.000590105
91,6077.58,0.45691,0.45885,0.30464,0.00359,0.20666,0.91987,0.91736,0.94466,0.8977,0.91409,0.91107,0.93725,0.81875,0.26783,0.67736,0.26747,0.00396,0,0.000582435,0.000582435,0.000582435
92,6145.63,0.45816,0.46895,0.31436,0.00362,0.20339,0.90389,0.93896,0.94548,0.89525,0.89839,0.93266,0.93875,0.82426,0.28681,0.49926,0.26221,0.00431,0,0.000574746,0.000574746,0.000574746
93,6211.32,0.45887,0.42878,0.3084,0.00354,0.2068,0.90007,0.93296,0.9451,0.89871,0.8967,0.92899,0.93991,0.82887,0.27532,0.48649,0.2631,0.00425,0,0.00056704,0.00056704,0.00056704
